ID_Mensaje,ID_Conversacion,Canal,Usuario,Rol,Contenido,Fecha
msg_9ca1f30b,conv_3c2b2543,web,"Roberto",user,"Hola, ¿a qué hora abren y qué servicios ofrecen?",2026-08-16T06:45:21.576Z
msg_daf1752b,conv_3c2b2543,web,"Roberto",assistant,"¡Hola! Te doy la bienvenida a Mi Negocio. Soy Asistente Virtual, tu asistente virtual. ¿En qué te puedo ayudar hoy?",2026-08-16T06:45:21.587Z
msg_236ba751,conv_59a1f304,web,"Visitante Web",user,"Hola desde prueba de integración",2026-08-16T06:45:21.692Z
msg_d44ec72d,conv_59a1f304,web,"Visitante Web",assistant,"¡Hola! Te doy la bienvenida a Mi Negocio. Soy Asistente Virtual, tu asistente virtual. ¿En qué te puedo ayudar hoy?",2026-08-16T06:45:21.697Z
msg_3ae636c5,conv_2253024a,web,"Carlos Mendoza",user,"Hola, me gustaría saber precios de sus servicios",2026-08-16T06:48:09.212Z
msg_36537307,conv_3c2b2543,web,"Roberto",user,"Hola, ¿a qué hora abren y qué servicios ofrecen?",2026-08-16T06:48:09.250Z
msg_f59a5b44,conv_3c2b2543,web,"Roberto",assistant,"¡Hola! Te doy la bienvenida a Mi Negocio. Soy Asistente Virtual, tu asistente virtual. ¿En qué te puedo ayudar hoy?",2026-08-16T06:48:09.263Z
msg_6225ef19,conv_59a1f304,web,"Visitante Web",user,"Hola desde prueba de integración",2026-08-16T06:48:09.378Z
msg_7571a806,conv_59a1f304,web,"Visitante Web",assistant,"¡Hola! Te doy la bienvenida a Mi Negocio. Soy Asistente Virtual, tu asistente virtual. ¿En qué te puedo ayudar hoy?",2026-08-16T06:48:09.383Z
msg_2d3b5ec2,conv_f11fe33e,web,"Visitante Web",user,"hola, quiero informacion",2026-08-16T06:56:09.370Z
msg_c0d446a5,conv_f11fe33e,web,"Visitante Web",assistant,"¡Hola! Qué gusto saludarte. Bienvenido a Mi Negocio 💈, tu barbería de confianza. 

Estamos especializados en cortes clásicos, degradados (fade), afeitado con toalla caliente, perfilado de barba y más. 

¿Te interesa algún servicio en específico o te gustaría agendar una cita para consentirte un poco?",2026-08-16T06:56:10.475Z
msg_cb72c712,conv_f11fe33e,web,"Visitante Web",assistant,"[Asesor Humano]: sisisi",2026-08-16T06:56:31.348Z
msg_4055cdd2,conv_f11fe33e,web,"Visitante Web",user,"si",2026-08-16T06:56:57.504Z
msg_4b197681,conv_f11fe33e,web,"Visitante Web",assistant,"[Asesor Humano]: ok",2026-08-16T06:57:07.559Z
msg_2643ebae,conv_f11fe33e,web,"Visitante Web",user,"ok",2026-08-16T06:57:22.979Z
msg_eb7b21ec,conv_f11fe33e,web,"Visitante Web",user,"bueno",2026-08-16T06:57:29.879Z
msg_c5d4f0c4,conv_f11fe33e,web,"Visitante Web",assistant,"[Asesor Humano]: si me escuchas?",2026-08-16T06:57:42.473Z
msg_fc66b271,conv_f11fe33e,web,"Visitante Web",user,"bueno",2026-08-16T06:57:50.318Z
msg_2c136123,conv_f11fe33e,web,"Visitante Web",user,"ok",2026-08-16T06:58:09.042Z
msg_143e7e20,conv_f11fe33e,web,"Visitante Web",assistant,"Gracias por escribir a Mi Negocio. Respecto a ""ok"", con gusto te podemos orientar. ¿Te gustaría agendar una cita o que un asesor te contacte por WhatsApp?",2026-08-16T06:58:09.373Z
msg_1632a4a6,conv_f11fe33e,web,"Visitante Web",user,"si",2026-08-16T06:58:15.247Z
msg_72e20405,conv_f11fe33e,web,"Visitante Web",assistant,"Gracias por escribir a Mi Negocio. Respecto a ""si"", con gusto te podemos orientar. ¿Te gustaría agendar una cita o que un asesor te contacte por WhatsApp?",2026-08-16T06:58:15.566Z
msg_a0e92765,conv_2253024a,web,"Carlos Mendoza",user,"Hola, me gustaría saber precios de sus servicios",2026-08-16T07:02:35.488Z
msg_bb008be8,conv_3c2b2543,web,"Roberto",user,"Hola, ¿a qué hora abren y qué servicios ofrecen?",2026-08-16T07:02:35.531Z
msg_1306b023,conv_3c2b2543,web,"Roberto",assistant,"¡Hola! 

Abrimos de **lunes a viernes de 9:00 AM a 6:00 PM** (y también tenemos horario de 8:00 AM a 8:00 PM según nuestros registros generales). 

Nuestros servicios principales son:
- Corte clásico
- Fade / Degradado
- Barba completa con toalla caliente
- Tinte de barba
- Paquete Corte + Barba
- Exfoliación facial

Además, ¡todos nuestros servicios incluyen agua embotellada, café americano o espresso de cortesía! ☕

¿Te gustaría agendar una cita para alguno de estos servicios?",2026-08-16T07:02:36.732Z
msg_927c172f,conv_59a1f304,web,"Visitante Web",user,"Hola desde prueba de integración",2026-08-16T07:02:36.782Z
msg_9a3c75bd,conv_59a1f304,web,"Visitante Web",assistant,"¡Hola! Qué gusto saludarte de nuevo. ¿En qué te puedo ayudar hoy? ¿Te gustaría agendar un corte, un arreglo de barba o consultar nuestros servicios?",2026-08-16T07:02:37.397Z
msg_f49f5108,conv_2253024a,web,"Carlos Mendoza",user,"Hola, me gustaría saber precios de sus servicios",2026-08-16T07:25:10.586Z
msg_1617b010,conv_3c2b2543,web,"Roberto",user,"Hola, ¿a qué hora abren y qué servicios ofrecen?",2026-08-16T07:25:10.611Z
msg_863e8931,conv_3c2b2543,web,"Roberto",assistant,"¡Hola! Te doy la bienvenida a Mi Negocio. Soy Asistente Virtual, tu asistente virtual. ¿En qué te puedo ayudar hoy?",2026-08-16T07:25:10.622Z
msg_39404d56,conv_59a1f304,web,"Visitante Web",user,"Hola desde prueba de integración",2026-08-16T07:25:10.743Z
msg_00a85a24,conv_59a1f304,web,"Visitante Web",assistant,"¡Hola! Te doy la bienvenida a Mi Negocio. Soy Asistente Virtual, tu asistente virtual. ¿En qué te puedo ayudar hoy?",2026-08-16T07:25:10.749Z
msg_0e2de6f2,conv_2253024a,web,"Carlos Mendoza",user,"Hola, me gustaría saber precios de sus servicios",2026-08-16T19:22:18.830Z
msg_167eaa98,conv_3c2b2543,web,"Roberto",user,"Hola, ¿a qué hora abren y qué servicios ofrecen?",2026-08-16T19:22:18.876Z
msg_17a260ae,conv_3c2b2543,web,"Roberto",assistant,"¡Hola! Te doy la bienvenida a Mi Negocio. Soy Asistente Virtual, tu asistente virtual. ¿En qué te puedo ayudar hoy?",2026-08-16T19:22:18.887Z
msg_5a75af65,conv_59a1f304,web,"Visitante Web",user,"Hola desde prueba de integración",2026-08-16T19:22:19.038Z
msg_79cf3f94,conv_59a1f304,web,"Visitante Web",assistant,"¡Hola! Te doy la bienvenida a Mi Negocio. Soy Asistente Virtual, tu asistente virtual. ¿En qué te puedo ayudar hoy?",2026-08-16T19:22:19.045Z
msg_c2e28942,conv_2253024a,web,"Carlos Mendoza",user,"Hola, me gustaría saber precios de sus servicios",2026-08-16T19:30:48.865Z
msg_f71a8c93,conv_3c2b2543,web,"Roberto",user,"Hola, ¿a qué hora abren y qué servicios ofrecen?",2026-08-16T19:30:48.896Z
msg_f7fa1a62,conv_3c2b2543,web,"Roberto",assistant,"¡Hola! Te doy la bienvenida a Mi Negocio. Soy Asistente Virtual, tu asistente virtual. ¿En qué te puedo ayudar hoy?",2026-08-16T19:30:48.910Z
msg_e98ff0e3,conv_59a1f304,web,"Visitante Web",user,"Hola desde prueba de integración",2026-08-16T19:30:49.033Z
msg_b9211a59,conv_59a1f304,web,"Visitante Web",assistant,"¡Hola! Te doy la bienvenida a Mi Negocio. Soy Asistente Virtual, tu asistente virtual. ¿En qué te puedo ayudar hoy?",2026-08-16T19:30:49.039Z
